timestamp_utc,price_mean,price_p10,price_p50,price_p90
2026-04-12 22:00:00+00:00,107.1070967071231,75.59281111661781,101.43863514877273,117.20079016481517
2026-04-12 23:00:00+00:00,87.14478782272637,70.58698279755257,91.18235031050304,95.326326543094
2026-04-13 00:00:00+00:00,81.56801185906968,69.8902577498691,86.57755202152613,86.57755202152613
2026-04-13 01:00:00+00:00,77.597737826406,71.05210415438495,79.42748244263609,80.5680780644435
2026-04-13 02:00:00+00:00,77.88434390768893,73.05660517563874,78.12767220923968,82.98400404412425
2026-04-13 03:00:00+00:00,85.37204204078368,76.96819246820722,81.60327681003687,92.39396146130133
2026-04-13 04:00:00+00:00,98.86548648757399,86.9919767054534,96.43600875259578,106.44979217398473
2026-04-13 05:00:00+00:00,105.53629022685227,97.75360810274476,103.56593074820742,118.74525707571907
2026-04-13 06:00:00+00:00,98.27790245371901,88.48504547329819,92.83523258302095,108.51640920850325
2026-04-13 07:00:00+00:00,79.42821893858343,68.1165894125624,81.15401929566761,89.62329100352974
2026-04-13 08:00:00+00:00,60.022393181805135,45.682809145537114,62.72319365807238,72.60203142295978
2026-04-13 09:00:00+00:00,41.421628934209316,23.520776605169058,43.041811697844565,57.61029817564687
2026-04-13 10:00:00+00:00,25.355219817712047,10.708379574587216,28.0348194841618,45.06780796432944
2026-04-13 11:00:00+00:00,23.920804948417096,6.48492661639427,17.082177261423244,39.54286335096061
2026-04-13 12:00:00+00:00,30.14321394185723,11.152094361502124,21.281523884210742,49.2630629901005
2026-04-13 13:00:00+00:00,45.93786317832464,26.07641401808173,45.3763199742832,60.92876681085556
2026-04-13 14:00:00+00:00,67.9339890321806,36.98973746430673,68.76643505021069,80.65225035450591
2026-04-13 15:00:00+00:00,86.893950878558,69.05264820465925,91.98592957946138,101.0211232390974
2026-04-13 16:00:00+00:00,117.70586541280971,88.2536893534309,113.13435655779875,128.13458269667825
2026-04-13 17:00:00+00:00,156.5383568000353,111.36782170325581,143.23190517558558,171.9948366002092
2026-04-13 18:00:00+00:00,166.34731209212129,125.10873761284617,149.8201338304424,184.34337997267875
2026-04-13 19:00:00+00:00,127.11852131294475,103.83788646964034,121.9215550052225,139.5623709433464
2026-04-13 20:00:00+00:00,110.81905616782862,89.01435898972105,108.25902705031993,117.50208096125962
2026-04-13 21:00:00+00:00,99.7841170056768,83.32850379753212,99.8073798489476,102.14467789281598
